Side,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
QLeft,0.359266,0.387153,0.398136,0.403366,0.406076,0.410879,0.412273,0.412045,0.414629,0.412181,0.41569,0.409651,0.415218,0.413397,0.412585,0.409741,0.414304,0.41292,0.411178,0.412464,0.412864,0.411344,0.413232,0.410461,0.410848,0.412157,0.413278,0.413917,0.410437,0.411786
QRight,0.423543,0.481227,0.512717,0.530544,0.544308,0.556531,0.56341,0.575176,0.580349,0.58824,0.591739,0.59358,0.600398,0.599898,0.607199,0.612006,0.611931,0.612869,0.617065,0.620467,0.62155,0.623424,0.626284,0.625543,0.626714,0.629987,0.63011,0.631464,0.633252,0.63455
